Date,Number1,Number2,Number3,Number4,Number5
"08
35
44
51
56
18",5,1,"$40,000,000",0*,$0
"23
28
38
39
56
32",5,1,"$74,000,000",1*,"$74,000,000"
"25
36
40
45
51
08",5,1,"$60,000,000",0*,$0
"07
24
37
39
40
01",5,1,"$50,000,000",0*,$0
"14
25
32
33
41
34",5,1,"$40,000,000",0*,$0
"01
10
13
18
19
27",5,1,"$122,000,000",2*,"$122,000,000"
"13
20
32
45
48
17",5,1,"$100,000,000",0*,$0
"06
09
11
31
44
25",5,1,"$81,000,000",0*,$0
"05
26
44
45
57
29",5,1,"$70,000,000",0*,$0
"18
25
50
55
57
17",5,1,"$60,000,000",0*,$0
"05
12
43
52
55
10",5,1,"$50,000,000",0*,$0
"04
18
23
32
45
07",5,1,"$40,000,000",0*,$0
"10
29
37
44
59
10",5,1,"$130,000,000",1*,"$130,000,000"
"05
31
50
55
56
09",5,1,"$110,000,000",0*,$0
"03
09
37
49
56
32",5,1,"$87,000,000",0*,$0
"01
05
10
15
49
22",5,1,"$70,000,000",0*,$0
"13
23
24
27
40
17",5,1,"$60,000,000",0*,$0
"02
36
40
49
54
10",5,1,"$50,000,000",0*,$0
"04
06
34
49
56
29",5,1,"$40,000,000",0*,$0
"03
23
31
34
47
13",5,1,"$216,000,000",1*,"$216,000,000"
"09
33
54
56
57
05",5,1,"$186,000,000",0*,$0
"03
26
28
34
42
28",5,1,"$156,000,000",0*,$0
"08
10
26
57
58
04",5,1,"$133,000,000",0*,$0
"03
09
19
33
38
18",5,1,"$108,000,000",0*,$0
"11
12
17
39
40
05",5,1,"$86,000,000",0*,$0
"04
06
25
42
51
17",5,1,"$70,000,000",0*,$0
"14
47
52
53
54
05",5,1,"$60,000,000",0*,$0
"02
07
17
49
53
23",5,1,"$50,000,000",0*,$0
"12
17
45
54
58
13",5,1,"$40,000,000",0*,$0
"07
10
22
32
35
19",5,1,"$400,000,000",1*,"$400,000,000"
"01
17
25
37
44
20",5,1,"$317,000,000",0*,$0
"11
19
33
42
52
33",5,1,"$245,000,000",0*,$0
"02
19
22
26
45
24",5,1,"$203,000,000",0*,$0
"02
09
26
45
47
11",5,1,"$169,000,000",0*,$0
"02
07
25
40
56
20",5,1,"$142,000,000",0*,$0
"06
07
09
19
32
13",5,1,"$116,000,000",0*,$0
"12
17
25
45
59
19",5,1,"$92,000,000",0*,$0
"30
40
42
46
48
23",5,1,"$70,000,000",0*,$0
"18
21
46
54
56
23",5,1,"$60,000,000",0*,$0
"04
11
17
43
51
20",5,1,"$50,000,000",0*,$0
"04
12
14
37
58
13",5,1,"$40,000,000",0*,$0
"05
25
30
58
59
32",5,1,"$425,000,000",3*,"$425,000,000"
"21
24
36
42
45
15",5,1,"$300,000,000",0*,$0
"08
24
39
49
59
05",5,1,"$235,000,000",0*,$0
"09
23
40
53
58
06",5,1,"$196,000,000",0*,$0
"09
29
40
44
54
07",5,1,"$166,000,000",0*,$0
"14
25
27
38
58
06",5,1,"$141,000,000",0*,$0
"01
22
34
38
42
17",5,1,"$116,000,000",0*,$0
"02
08
22
35
37
06",5,1,"$94,000,000",0*,$0
"30
31
45
55
59
27",5,1,"$80,000,000",0*,$0
"02
13
35
36
52
11",5,1,"$70,000,000",0*,$0
"03
06
29
40
51
04",5,1,"$60,000,000",0*,$0
"08
28
30
53
56
16",5,1,"$50,000,000",0*,$0
"01
18
33
39
46
33",5,1,"$40,000,000",0*,$0
"13
19
23
33
57
28",5,1,"$127,000,000",1*,"$127,000,000"
"07
46
47
52
57
17",5,1,"$105,000,000",0*,$0
"28
36
40
48
55
01",5,1,"$85,000,000",0*,$0
"16
22
23
42
55
32",5,1,"$70,000,000",0*,$0
"02
11
22
26
32
19",5,1,"$60,000,000",0*,$0
"04
26
33
36
55
32",5,1,"$50,000,000",0*,$0
"22
28
33
53
59
14",5,1,"$40,000,000",0*,$0
"09
14
17
49
57
02",5,1,"$40,000,000",1*,"$40,000,000"
"02
06
19
21
27
25",5,1,"$50,000,000",3*,"$50,000,000"
"09
31
35
41
57
26",5,1,"$40,000,000",0*,$0
"10
13
14
22
52
11",5,1,"$600,000,000",1*,"$600,000,000"
"02
11
26
34
41
32",5,1,"$360,000,000",0*,$0
"06
13
19
23
43
16",5,1,"$270,000,000",0*,$0
